epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.2337,1.90213,2.96088,1.42749,0.57581,0.16667,0.40009,0.34222,0.95654,3.79984,1.48726,0.00043342,0.00043342,0.00043342
2,159.183,1.61732,1.75909,1.23326,0.66239,0.98288,0.74583,0.56981,0.74845,4.25954,1.50942,0.000872577,0.000872577,0.000872577
3,234.132,1.61586,1.56236,1.18113,0.74386,1,0.8465,0.59687,0.90998,8.12453,1.7616,0.00130059,0.00130059,0.00130059
4,308.934,1.55318,1.52076,1.16169,0.74604,0.98152,0.84333,0.56027,0.92337,5.54606,2.29595,0.00160511,0.00160511,0.00160511
5,382.781,1.50387,1.45766,1.17352,0.82948,1,0.87643,0.61321,0.86205,8.68535,1.96485,0.00158448,0.00158448,0.00158448
6,455.49,1.46755,1.36401,1.12475,0.53295,0.83333,0.65744,0.51643,1.04714,8.00678,1.87053,0.00156385,0.00156385,0.00156385
7,529.39,1.46274,1.36664,1.16333,0.61895,0.83333,0.59132,0.48937,0.77926,9.9245,1.6529,0.00154323,0.00154323,0.00154323
8,607.402,1.38894,1.2902,1.11624,0.61239,0.83333,0.61815,0.46644,0.7166,8.98195,1.58169,0.0015226,0.0015226,0.0015226
9,682.012,1.39195,1.218,1.10193,0.3842,0.83333,0.67833,0.3691,1.59241,6.86693,2.42653,0.00150197,0.00150197,0.00150197
10,755.933,1.37272,1.22343,1.08254,0.43978,1,0.66195,0.32207,1.42679,15.2889,1.76617,0.00148134,0.00148134,0.00148134
11,831,1.38394,1.23917,1.10863,0.59361,1,0.797,0.67657,0.70714,8.35475,1.35217,0.00146071,0.00146071,0.00146071
12,909.468,1.33753,1.18663,1.0841,0.74373,1,0.89833,0.66565,0.96133,3.51922,1.85359,0.00144008,0.00144008,0.00144008
13,983.821,1.32758,1.15106,1.07487,0.70651,0.83333,0.78243,0.60484,0.94527,6.22237,1.57476,0.00141945,0.00141945,0.00141945
14,1060.83,1.30415,1.16597,1.07181,0.65902,0.9694,0.75024,0.66518,0.51602,6.24448,1.14624,0.00139882,0.00139882,0.00139882
15,1132.03,1.26132,1.0821,1.04096,0.74399,1,0.87167,0.71059,0.86567,5.73501,1.75989,0.00137819,0.00137819,0.00137819
16,1202.07,1.30618,1.07547,1.04544,0.74154,1,0.955,0.75481,0.94737,7.14206,1.95005,0.00135756,0.00135756,0.00135756
17,1283.82,1.29314,1.07735,1.04586,0.74362,1,0.94786,0.78929,0.61516,12.3189,1.40325,0.00133693,0.00133693,0.00133693
18,1363.02,1.29795,1.0835,1.04983,0.69663,0.83333,0.78443,0.65922,0.54056,8.34065,1.20648,0.0013163,0.0013163,0.0013163
19,1432.81,1.28578,1.08509,1.04003,0.70455,0.79926,0.86027,0.74883,0.64623,4.08982,1.35115,0.00129568,0.00129568,0.00129568
20,1514.55,1.2879,1.08237,1.07108,0.71108,0.83333,0.85833,0.74526,0.42167,4.77086,1.08872,0.00127505,0.00127505,0.00127505
21,1586.1,1.23438,1.00539,1.01778,0.72799,1,0.7795,0.63048,0.57784,6.48694,1.36147,0.00125442,0.00125442,0.00125442
22,1662.53,1.27901,1.03357,1.05141,0.74179,1,0.7795,0.62026,0.80455,4.4902,1.67729,0.00123379,0.00123379,0.00123379
23,1732.64,1.226,0.98617,1.01589,0.85454,0.9818,0.90071,0.71117,0.72072,8.64715,1.56733,0.00121316,0.00121316,0.00121316
24,1804.4,1.25845,1.00804,1.03924,0.82652,1,0.92357,0.74439,0.76986,11.3137,1.5258,0.00119253,0.00119253,0.00119253
25,1880.36,1.25374,0.96654,1.04682,0.79063,1,0.87643,0.72032,0.48537,5.11609,1.09576,0.0011719,0.0011719,0.0011719
26,1957.84,1.19211,0.92566,1.00779,0.74735,0.98762,0.8125,0.74845,0.41143,3.44305,1.08081,0.00115127,0.00115127,0.00115127
27,2027.01,1.15048,0.88199,0.99826,0.74457,1,0.8125,0.75507,0.43576,6.77373,1.0862,0.00113064,0.00113064,0.00113064
28,2098.09,1.1757,0.93884,1.00396,0.74366,1,0.8125,0.73127,0.39613,7.33496,1.04557,0.00111001,0.00111001,0.00111001
29,2170.47,1.18341,0.96584,1.02819,0.74997,1,0.92357,0.82528,0.47538,4.83314,1.1133,0.00108938,0.00108938,0.00108938
30,2244.85,1.20953,0.95178,1.02095,0.76192,1,0.92357,0.82515,0.56127,5.45156,1.17459,0.00106876,0.00106876,0.00106876
31,2317.36,1.21572,0.93813,1.02498,0.68003,1,0.74625,0.63697,0.50979,5.2537,1.08498,0.00104813,0.00104813,0.00104813
32,2388.13,1.20774,0.93234,1.01875,0.85161,0.9613,0.90071,0.79585,0.4128,6.50114,1.0247,0.0010275,0.0010275,0.0010275
33,2464.93,1.14242,0.87573,0.99319,0.80412,0.83333,0.915,0.79523,0.57045,10.3609,1.47021,0.00100687,0.00100687,0.00100687
34,2541.27,1.18814,0.90729,1.00362,0.85549,0.98841,0.97214,0.80298,0.54246,10.124,1.40003,0.000986239,0.000986239,0.000986239
35,2618.53,1.16339,0.87168,0.98868,0.83204,1,0.97214,0.85541,0.49692,6.1522,1.23757,0.00096561,0.00096561,0.00096561
36,2691.5,1.15722,0.93827,1.02245,0.84363,1,0.90071,0.78437,0.3943,5.9347,1.03669,0.000944981,0.000944981,0.000944981
37,2765.55,1.16461,0.88042,0.99331,0.73953,1,0.87167,0.76947,0.50294,6.12808,1.13601,0.000924352,0.000924352,0.000924352
38,2838.41,1.13785,0.91389,1.01792,0.84717,1,0.97214,0.85831,0.62061,5.86373,1.22282,0.000903722,0.000903722,0.000903722
39,2916.2,1.17043,0.90814,1.01424,0.83818,1,0.94786,0.81296,0.57868,10.218,1.33695,0.000883093,0.000883093,0.000883093
40,2994.47,1.15072,0.86237,0.99389,0.83929,1,0.97214,0.86467,0.53053,4.0027,1.30762,0.000862464,0.000862464,0.000862464
41,3070.67,1.1297,0.86177,0.99156,0.95348,1,0.995,0.92594,0.37559,9.79994,0.99937,0.000841835,0.000841835,0.000841835
42,3147.76,1.18002,0.84745,0.99396,0.98345,1,0.995,0.94615,0.35703,11.3396,0.98022,0.000821206,0.000821206,0.000821206
43,3223.38,1.13334,0.83786,0.99686,0.85644,1,0.995,0.89415,0.54574,6.05146,1.1289,0.000800577,0.000800577,0.000800577
44,3299.19,1.08749,0.79956,0.97142,0.83349,1,0.85286,0.8052,0.33037,5.62094,0.99227,0.000779948,0.000779948,0.000779948
45,3376.28,1.12923,0.82902,0.9884,0.80407,1,0.87643,0.81094,0.34814,6.14427,0.99674,0.000759318,0.000759318,0.000759318
46,3453.25,1.14515,0.83728,1.00613,0.84052,1,0.92357,0.8723,0.345,4.0681,1.04034,0.000738689,0.000738689,0.000738689
47,3529.37,1.14002,0.8091,0.99187,0.83791,1,0.92357,0.87843,0.35499,7.44412,1.07448,0.00071806,0.00071806,0.00071806
48,3603.94,1.14464,0.8817,1.00623,0.82315,1,0.85286,0.80706,0.33017,6.90106,1.03414,0.000697431,0.000697431,0.000697431
49,3680.77,1.13161,0.85744,0.99653,0.80812,1,0.87643,0.80182,0.39276,7.30143,1.08372,0.000676802,0.000676802,0.000676802
